N filter/list-comprehension filter/filter-fun filter/filter-named filter/recursive 
10000 0.0 0 0 0.0 
50000 0 0 0 0 
100000 0 0.0 0.0 0.0 
500000 0 454710.70999999996 129883.12000000002 0 
1000000 0.0 381868.65 465349.81999999995 0 
2000000 483697.15 6874506.095000002 2519740.746 154963.75 
3000000 932746.04 4823595.6 5373214.635999999 1704336.875 
4000000 1349832.665 7199546.061000003 10316740.526 1922702.225 
5000000 2579905.047 9578629.885000002 11985253.566000002 3716087.13 
6000000 6626464.016000001 11343294.234 14427867.985000003 6739835.199000001 
7000000 7220366.92 17261472.645 19159467.696000002 8315410.9399999995 
8000000 10473260.044000002 20384920.161000006 21063063.65 15859723.055999998 
9000000 13174431.124999996 27992857.709999997 21598966.586 13387198.387 
10000000 17571245.604 28311847.536000002 24165906.844999995 16107532.084000003 
