N fibonacci/parmap fibonacci/ordparmap fibonacci/ordparmap-hof fibonacci/ordparmap-comp fibonacci/parmap-hof farm/fib fibonacci/parmap-comp 
500 0.0470000000000000001110 0.0470000000000000001110 0.0470000000000000001110 0.0309999999999999997780 0.0470000000000000001110 0.0320000000000000006661 0.0309999999999999997780 
1000 0.0779999999999999998890 0.0779999999999999998890 0.108999999999999999667 0.0779999999999999998890 0.0779999999999999998890 0.0619999999999999995559 0.0779999999999999998890 
1500 0.110000000000000000555 0.140000000000000013323 0.125000000000000000000 0.125000000000000000000 0.108999999999999999667 0.108999999999999999667 0.110000000000000000555 
2000 0.155999999999999999778 0.157000000000000000666 0.171999999999999986233 0.171999999999999986233 0.125000000000000000000 0.140999999999999986455 0.140000000000000013323 
2500 0.171999999999999986233 0.203999999999999986899 0.219000000000000000222 0.186999999999999999556 0.171999999999999986233 0.188000000000000000444 0.188000000000000000444 
