N map-update-one/update dict-update-one/store dict-update-one/update 
100 1.06299999999999994493 0E-20 0E-20 
500 0.891000000000000014211 0E-20 0E-20 
1000 1.04600000000000004086 0E-20 0E-20 
5000 0.983999999999999985789 0E-20 0E-20 
10000 1.14100000000000001421 0E-20 0E-20 
20000 1.18799999999999994493 0E-20 0E-20 
30000 2.79700000000000015277 0E-20 0E-20 
40000 2.93800000000000016698 0E-20 0E-20 
50000 3.75000000000000000000 0E-20 0E-20 
60000 3.56300000000000016698 0E-20 0E-20 
70000 2.67200000000000015277 0E-20 0E-20 
80000 2.59399999999999986144 0E-20 0E-20 
90000 3.42200000000000015277 0.0160000000000000003331 0E-20 
100000 3.46899999999999986144 0E-20 0E-20 
200000 3.51500000000000012434 0E-20 0E-20 
300000 3.46899999999999986144 0E-20 0E-20 
400000 3.51500000000000012434 0.0160000000000000003331 0.0160000000000000003331 
500000 3.31199999999999983302 0.0149999999999999994449 0.0160000000000000003331 
600000 3.32900000000000018119 0.0149999999999999994449 0.0160000000000000003331 
700000 3.59399999999999986144 0.0309999999999999997780 0.0470000000000000001110 
800000 3.37500000000000000000 0.0309999999999999997780 0.0309999999999999997780 
900000 3.46899999999999986144 0.0630000000000000004441 0.0470000000000000001110 
1000000 3.54599999999999981881 0.0470000000000000001110 0.0470000000000000001110 
