N map-find/find list-find/get-value map-find/find-pattern-match list-find/recursive list-find/keyfind 
100 1160360.21 0 573310.9 0.0 0.0 
500 2141262.6 0.0 880405.5599999999 0.0 0 
1000 347488.9 0 368177.01 0 0 
5000 313558.62 0 284060.01 0 0.0 
10000 430753.77 0.0 576459.2699999999 0 0.0 
20000 1247498.1 0.0 705137.7860000001 0.0 0 
30000 530888.61 414987.326 497091.79000000004 103444.19399999999 0.0 
40000 1261082.2600000002 558274.88 419180.14 690637.1599999999 0.0 
50000 3403465.0799999996 740735.8300000001 1415627.9899999998 654624.515 0 
60000 1306154.15 2337392.0300000003 713569.755 569584.76 318689.82 
70000 1041436.8800000001 1474411.8699999999 808687.71 1526719.9 368419.56 
80000 1230141.95 3988702.63 437902.62 1426624.5000000002 328953.496 
90000 1252195.6300000001 3383184.31 809343.47 861001.2300000001 462228.99000000005 
100000 744020.62 4554150.2 1265087.67 1160929.3900000001 289855.21499999997 
200000 1380204.85 8618489.384 166782.145 6251069.569999999 822698.9400000001 
300000 1114207.2 10648503.698 256320.12999999998 6842514.45 3722022.7299999995 
400000 470736.61 14557742.830000002 746699.14 11541481.410000002 4705455.886 
500000 1009552.24 17108967.720000006 1294138.7550000001 13338540.46 8198902.300000002 
600000 1504149.9340000001 19659662.479999997 268417.54 16509733.969999999 6378486.9 
700000 604859.8099999999 23502800.68 297666.68 18794666.999999996 8477829.852 
800000 955184.026 25120649.406000003 1289789.8939999999 20738173.48 9947156.896000002 
900000 655739.5900000001 29818746.950000007 898200.35 23879989.780000005 11134982.200000001 
1000000 605739.5 29714430.514999997 981733.1300000001 25420727.06399999 13509696.8 
2000000 1510103.49 54884747.029999994 1225433.33 42752896.33 21009296.28000001 
3000000 1663268.6 69849498.05999999 1230145.9899999998 57818313.489999995 29374968.35 
4000000 3795599.4299999997 85585579.60000005 465485.0300000001 72579543.56999998 36495229.756 
5000000 2338364.54 101844071.76 490376.855 81500062.47 39832912.96999999 
6000000 2006079.67 110394498.7 2006079.67 94388675.81999995 47335204.65 
7000000 1251692.255 124485160.43000004 1085829.5100000002 99953196.76999998 56055774.18999998 
8000000 913693.32 133873273.33999994 1062644.49 108871565.306 56164902.44 
9000000 1190629.78 140420294.76999992 1190629.78 117055686.53000002 60395427.66000001 
10000000 352318.0 155387706.29 339020.294 127321278.33000016 70083109.79 
