N map-find/find list-find/get-value map-find/find-pattern-match list-find/recursive list-find/keyfind 
100 0.359999999999999986677 0E-20 0.203000000000000013767 0E-20 0E-20 
500 0.344999999999999973355 0E-20 0.203000000000000013767 0E-20 0E-20 
1000 0.311999999999999999556 0E-20 0.266000000000000014211 0E-20 0E-20 
5000 0.281000000000000027534 0.0459999999999999992228 0.234999999999999986677 0.0160000000000000003331 0E-20 
10000 0.313000000000000000444 0.0630000000000000004441 0.266000000000000014211 0.0470000000000000001110 0.0160000000000000003331 
20000 0.436999999999999999556 0.125000000000000000000 0.281000000000000027534 0.0940000000000000002220 0.0309999999999999997780 
30000 0.406999999999999972911 0.186999999999999999556 0.266000000000000014211 0.140999999999999986455 0.0619999999999999995559 
40000 0.391000000000000014211 0.250000000000000000000 0.266000000000000014211 0.188000000000000000444 0.0630000000000000004441 
50000 0.562999999999999944933 0.313000000000000000444 0.406000000000000027534 0.234000000000000013545 0.0940000000000000002220 
60000 0.468999999999999972466 0.391000000000000014211 0.328000000000000013767 0.281999999999999972911 0.110000000000000000555 
70000 0.406999999999999972911 0.453000000000000013767 0.296999999999999986233 0.343999999999999972466 0.125000000000000000000 
80000 0.390000000000000013323 0.516000000000000014211 0.266000000000000014211 0.376000000000000000888 0.140999999999999986455 
90000 0.468999999999999972466 0.577999999999999958256 0.329000000000000014655 0.436999999999999999556 0.155999999999999999778 
100000 0.468000000000000027089 0.656000000000000027534 0.329000000000000014655 0.484999999999999986677 0.186999999999999999556 
200000 0.390000000000000013323 1.32800000000000006928 0.281000000000000027534 0.984999999999999986677 0.343999999999999972466 
300000 0.406999999999999972911 2.01600000000000001421 0.281000000000000027534 1.53099999999999991651 0.625000000000000000000 
400000 0.421999999999999986233 2.71899999999999986144 0.281000000000000027534 2.06300000000000016698 0.891000000000000014211 
500000 0.391000000000000014211 3.39100000000000001421 0.281000000000000027534 2.59299999999999997158 1.18700000000000005507 
600000 0.438000000000000000444 4.06299999999999972289 0.281999999999999972911 3.09399999999999986144 1.34400000000000008349 
700000 0.500000000000000000000 4.71900000000000030553 0.359999999999999986677 3.60999999999999987566 1.56299999999999994493 
800000 0.406999999999999972911 5.40599999999999969447 0.281000000000000027534 4.11000000000000031974 1.87500000000000000000 
900000 0.484999999999999986677 6.09400000000000030553 0.343999999999999972466 4.62500000000000000000 2.07799999999999984723 
1000000 0.484999999999999986677 6.75000000000000000000 0.359999999999999986677 5.17100000000000026290 2.31199999999999983302 
2000000 0.436999999999999999556 13.3750000000000000000 0.281999999999999972911 10.2500000000000000000 4.64100000000000001421 
3000000 0.531000000000000027534 20.0150000000000005684 0.343000000000000027089 15.3130000000000006111 6.82800000000000029132 
4000000 0.843999999999999972466 26.6570000000000000284 0.375000000000000000000 20.3440000000000011937 9.14000000000000056843 
5000000 0.532000000000000028422 33.2969999999999970441 0.313000000000000000444 25.3279999999999994031 10.7029999999999994031 
6000000 0.891000000000000014211 39.8119999999999976126 0.375000000000000000000 30.4220000000000005969 12.6560000000000005826 
7000000 0.453000000000000013767 46.4059999999999988063 0.375000000000000000000 35.4380000000000023874 15.9679999999999999716 
8000000 0.453000000000000013767 53.6560970000000025948 0.390000000000000013323 40.4837109999999995580 17.7340260000000000673 
9000000 0.468999999999999972466 59.6091490000000021610 0.375000000000000000000 45.6250810000000015521 19.1720289999999984332 
10000000 0.375000000000000000000 66.5304110000000008540 0.296999999999999986233 50.5461779999999976098 23.2657910000000001105 
