N map-build/from-list build/map-pattern build/list-recursive build/map-put dict-build/from-list dict-build/recursive-from-list 
100 0.0 0.0 0.0 0.0 0.0 0.0 
500 0.0 0.0 0.0 0.0 0.0 0.0 
1000 0.0 0.0 0.0 0.0 0.016 0.0 
5000 0.0 0.031 0.0 0.015 0.031 0.062 
10000 0.0 0.047 0.0 0.047 0.141 0.203 
20000 0.047 0.125 0.0 0.125 0.391 0.485 
30000 0.078 0.171 0.015 0.219 0.781 1.015 
40000 0.109 0.234 0.015 0.25 1.094 1.516 
50000 0.125 0.344 0.016 0.359 1.672 2.297 
60000 0.172 0.392 0.063 0.437 2.25 3.11 
70000 0.204 0.485 0.032 0.515 2.86 3.829 
80000 0.218 0.594 0.078 0.593 3.438 4.86 
90000 0.265 0.657 0.062 0.703 4.141 6.11 
100000 0.281 0.782 0.047 0.766 5.328 7.485 
200000 0.562 1.687 0.141 1.719 17.265 25.125 
300000 0.876 2.705 0.234 2.75 35.016 56.188 
400000 1.203 3.782 0.406 3.828 61.765 94.672 
500000 1.547 5.0 0.265 5.0 91.359 146.454 
600000 1.875 6.156 0.5 6.14 120.48531 196.173841 
700000 2.219 7.391 0.796 7.312 162.562675 262.077486 
800000 2.609 8.686999999999998 0.719 8.657 260.874324 375.606771 
900000 2.907 9.703 1.265 9.797 276.737154 475.845106 
1000000 3.125 10.969 0.875 10.968 330.156243 561.140067 
2000000 6.703 23.89 1.797 23.703 nan nan 
3000000 9.844 38.297 2.047 36.859 nan nan 
4000000 13.657 52.421947 3.312997 52.702948 nan nan 
5000000 17.109 66.46877 4.812 66.87516 nan nan 
6000000 20.875283 79.624373 4.796962 79.655371 nan nan 
7000000 23.984133 96.890993 5.719014 95.359239 nan nan 
8000000 28.109103 109.78096 7.186986 110.640459 nan nan 
9000000 31.327875 125.734186 10.28201 123.093376 nan nan 
10000000 36.03064 140.42277 8.796984999999998 140.297316 nan nan 
