N map-build/from-list build/map-pattern build/list-recursive build/map-put dict-build/from-list dict-build/recursive-from-list 
100 0.0 0.0 0.0 0.0 0.0 0.0 
500 0.0 0.0 0.0 0.0 0.0 0.0 
1000 0.0 0.0 0.0 0.0 0.0 0.0 
5000 0.0 5003.259260000001 0.0 2065.0066500000003 5481.10907 0.0 
10000 0.0 3705.746725 0.0 6924.48885 94558.56068999998 262477.74749000004 
20000 0.0 0.0 0.0 0.0 383145.34958000004 900958.91625 
30000 11050.431600000002 0.0 1830.0078 0.0 1844986.1224850002 4466056.6877500005 
40000 0.0 0.0 0.0 0.0 3675478.57522 11339347.677640002 
50000 24583.4125 0.0 0.0 0.0 13787076.415200002 19330176.441550005 
60000 86856.52216000001 0.0 0.0 0.0 21472804.755 30348824.87489999 
70000 177691.64388 0.0 0.0 0.0 33921733.2454 55259820.676802 
80000 273927.44983 0.0 0.0 0.0 51036140.51838 36637944.49116 
90000 297255.05694000004 0.0 0.0 0.0 72572665.846404 41774199.12874 
100000 205463.31939000002 0.0 0.0 0.0 136016788.44528002 nan 
200000 1885925.2899000002 0.0 0.0 nan 713829841.8946798 44273005.911 
300000 4523276.9394 341861.17305000004 0.0 0.0 800077095.4959841 38717928.65481201 
400000 6600545.272650002 1664394.6245800003 0.0 356223.03816 243759387.72405002 36543507.405168 
500000 12721444.792147001 10817924.120000001 0.0 6489648.5249999985 152701553.25633597 87017916.62671801 
600000 16832545.593749996 32161323.915756002 152518.655 16634959.80988 301208906.3231447 491941540.3048485 
700000 27127085.89682001 53560800.28490099 100389.6494 36152654.885312006 486491625.81094193 410932561.8185512 
800000 35296359.30648 74252456.49903896 81257.38236 47453096.126458 1212804606.1693504 2932892311.698498 
900000 45583605.26185499 136616983.21892503 884302.3106499999 101536547.052555 856842449.0721266 4428442354.242341 
1000000 47962941.90625001 169905846.71382704 281460.92625 149259997.786992 1699543038.6096628 nan 
2000000 191011485.724952 1268437974.00059 8980628.905319998 1172944884.353091 nan nan 
3000000 384621622.44824 3488334652.6828365 19715233.70131 3219843211.1810403 nan nan 
4000000 700306789.15855 5694483971.069349 52140074.63124123 5685588842.056396 nan nan 
5000000 1022243863.5459896 8835703066.105068 108131983.48155603 8670766816.634436 nan nan 
6000000 1375211042.9194016 12147940957.112288 110085354.87383859 12165871123.755741 nan nan 
7000000 1788465032.0250492 16485994638.877953 159773379.98110777 16038715823.566053 nan nan 
8000000 2364290416.2979765 20314947477.609646 226586913.27759472 20038084295.879856 nan nan 
9000000 2717504744.5827656 25172338244.861385 438039641.07901156 24264602266.47219 nan nan 
10000000 3609925209.2054253 29886889892.973167 342865605.1410728 29784549662.152576 nan nan 
